RID,Age,Gender,Region,BrandA_awareness,BrandA_usage,BrandA_affinity,BrandA_uniqueness,BrandA_dynamism,BrandB_awareness,BrandB_usage,BrandB_affinity,BrandB_uniqueness,BrandB_dynamism,BrandC_awareness,BrandC_usage,BrandC_affinity,BrandC_uniqueness,BrandC_dynamism
1,56,Female,South,0,0,1,3,3,0,0,4,5,5,1,0,2,5,3
2,46,Male,North,1,0,5,4,3,1,0,3,5,5,0,0,5,3,2
3,32,Male,South,1,0,2,2,4,1,0,1,5,4,1,1,3,1,3
4,60,Female,North,1,0,2,4,5,0,0,2,5,4,1,1,2,2,2
5,25,Male,North,1,1,5,5,3,0,0,1,3,4,1,0,1,2,2
6,38,Female,North,1,1,5,4,2,1,0,3,4,1,1,0,3,5,5
7,56,Male,West,1,1,1,5,1,0,0,5,2,4,1,1,4,3,4
8,36,Female,East,1,0,3,1,2,1,0,5,2,2,1,0,2,3,1
9,40,Female,West,1,1,2,1,5,0,0,3,1,4,1,1,5,1,1
10,28,Male,South,1,1,1,5,1,1,1,3,3,2,1,1,2,2,3
11,28,Male,South,0,0,5,5,2,1,0,2,2,3,0,0,2,2,1
12,41,Male,East,0,0,1,4,2,1,1,4,4,1,1,0,3,5,5
13,53,Male,South,1,1,5,5,4,0,0,1,5,1,1,1,4,5,4
14,57,Female,North,1,1,4,2,5,0,0,1,1,5,0,0,4,3,2
15,41,Male,East,0,0,5,1,4,1,1,5,4,3,1,1,2,2,2
16,20,Female,North,0,0,5,1,1,1,1,5,2,2,1,0,4,1,5
17,39,Male,East,0,0,5,5,4,0,0,2,3,3,1,0,3,4,1
18,19,Female,East,0,0,3,3,5,0,0,3,1,1,1,1,3,1,2
19,41,Female,North,1,0,5,3,3,1,0,1,2,2,1,0,5,5,1
20,61,Female,North,1,1,2,5,3,1,0,2,1,3,1,0,4,1,5
21,47,Male,West,1,1,2,2,1,0,0,5,2,1,0,0,5,2,2
22,55,Male,South,1,1,1,3,3,0,0,5,5,2,1,0,1,3,3
23,19,Male,North,0,0,3,5,4,1,0,1,3,2,1,1,3,4,4
24,38,Female,West,0,0,1,2,1,1,0,5,5,1,1,0,2,3,1
25,50,Female,North,1,0,2,2,5,1,0,5,2,2,0,0,3,4,1
26,29,Female,East,1,0,2,4,1,1,0,4,4,1,0,0,1,4,1
27,39,Male,West,1,0,4,2,1,0,0,3,5,4,0,0,2,2,1
28,61,Female,North,0,0,5,3,2,1,0,5,4,4,1,0,4,2,5
29,42,Female,North,1,0,2,3,2,1,1,4,2,2,1,0,4,5,5
30,44,Male,North,1,1,1,5,1,1,0,2,3,2,0,0,3,5,5
31,59,Male,South,1,1,1,5,3,1,1,5,4,1,1,0,2,4,5
32,45,Female,North,1,0,5,2,2,0,0,2,2,2,1,1,2,5,2
33,33,Female,East,1,0,5,1,5,1,0,5,4,5,1,0,5,2,5
34,32,Female,North,1,1,4,4,4,1,1,1,5,4,1,0,1,5,2
35,64,Male,East,0,0,3,1,2,1,1,4,2,2,0,0,4,4,3
36,61,Female,West,0,0,1,2,1,1,0,4,5,2,1,0,3,3,5
37,20,Male,West,0,0,5,2,3,0,0,1,1,3,0,0,2,1,3
38,54,Male,East,1,0,1,1,4,1,1,3,2,2,1,0,4,5,5
39,24,Male,South,1,0,5,4,2,1,1,4,4,5,1,0,3,2,3
40,38,Female,East,1,1,2,1,3,1,0,2,1,4,1,1,4,3,4
41,26,Female,East,0,0,1,5,3,1,0,4,5,3,1,1,3,2,3
42,56,Female,South,1,0,2,3,3,1,1,3,5,1,1,0,4,5,2
43,35,Male,North,1,0,1,5,1,1,1,2,4,1,1,0,5,4,1
44,21,Female,West,1,0,3,3,5,0,0,2,1,4,1,0,1,1,3
45,42,Male,South,1,1,4,2,3,0,0,1,3,1,0,0,4,1,1
46,31,Female,North,1,1,2,4,4,1,0,5,4,5,1,1,1,3,4
47,26,Male,South,1,1,5,1,2,0,0,1,5,2,1,0,4,1,4
48,43,Male,South,0,0,3,4,4,1,0,5,2,4,1,0,2,4,2
49,19,Male,West,1,1,1,1,1,1,1,1,1,3,1,0,5,2,2
50,37,Male,East,0,0,2,5,1,1,0,5,3,2,1,1,5,4,3
51,45,Female,West,0,0,1,5,4,0,0,4,2,1,1,1,1,3,5
52,64,Female,North,0,0,1,1,5,1,0,2,1,1,1,1,2,3,4
53,24,Male,South,1,0,1,4,1,0,0,5,4,3,1,1,3,1,1
54,61,Female,South,1,0,4,1,1,1,1,4,4,5,0,0,5,4,5
55,25,Male,North,1,1,4,2,4,1,1,3,1,3,1,0,2,2,4
56,64,Female,South,0,0,5,5,1,1,1,1,3,4,1,0,2,4,3
57,52,Female,West,1,0,2,2,5,1,0,3,1,3,1,1,1,2,4
58,31,Female,North,1,1,3,5,5,0,0,4,2,1,1,1,2,2,2
59,34,Male,East,1,1,3,5,5,1,0,3,2,5,1,0,2,4,1
