dataset,column,inferred_type,missing_pct,unique_count,mean,median,mode,min,max,std,outlier_count,scale_consistency
unclean_input,Respondent_Serial,float,1.91,615,23822011922124.195,23822011919854.0,23822011917320.0,23822011917320.0,23822011936426.0,5576.426035129781,0,mixed
unclean_input,QLanguage,float,4.94,1,133.0,133.0,133.0,133.0,133.0,0.0,0,mixed
unclean_input,Q3_CAT_AU_E_TN_DEV,float,63.32,3,1.3043478260869565,1.0,1.0,1.0,3.0,0.5477052253355643,10,1-5
unclean_input,Qcountry,float,2.87,1,238.0,238.0,238.0,238.0,238.0,0.0,0,mixed
unclean_input,Main_Boost,float,1.91,1,1.0,1.0,1.0,1.0,1.0,0.0,0,0-1
unclean_input,AGE,float,4.94,45,33.81879194630873,33.0,24.0,18.0,62.0,10.331841093768958,0,0-100
unclean_input,LegalAge,integer,0.0,1,18.0,18.0,18.0,18.0,18.0,0.0,0,0-100
unclean_input,LegalAge1,integer,0.0,2,1.0207336523125996,1.0,1.0,1.0,2.0,0.14260505639185445,13,1-5
unclean_input,LegalAge2,integer,0.0,2,1.0494417862838916,1.0,1.0,1.0,2.0,0.21696168234448723,31,1-5
unclean_input,SEX,float,3.99,1,1.0,1.0,1.0,1.0,1.0,0.0,0,0-1
unclean_input,DEMO_REG,float,5.9,6,1622.6796610169492,1623.0,1621.0,1621.0,1626.0,1.647375817334097,0,mixed
unclean_input,DEMO_EDUC,float,2.87,9,379.8456486042693,405.0,405.0,273.0,410.0,52.45830880592349,0,mixed
unclean_input,DEMO_OCC,integer,0.0,8,318.2663476874003,498.0,80.0,80.0,520.0,217.05670009057928,0,mixed
unclean_input,UsertypeN#24,integer,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0-1
unclean_input,UsertypeN#25,integer,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0-1
unclean_input,UsertypeN#26,integer,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0-1
unclean_input,UsertypeN#27,integer,0.0,2,0.9760765550239234,1.0,1.0,0.0,1.0,0.15293271675872866,15,0-1
unclean_input,UsertypeN#28,integer,0.0,2,0.9984051036682615,1.0,1.0,0.0,1.0,0.03993615319154349,1,0-1
unclean_input,AGE_GROUP_2,integer,0.0,6,2.9138755980861246,3.0,2.0,1.0,6.0,1.1172116150515805,0,0-10
unclean_input,Q5_PBAT_SPONT_AWARE_TOM,float,100.0,0,,,,,,,0,unknown
unclean_input,MHI_Groups,integer,0.0,1,4.0,4.0,4.0,4.0,4.0,0.0,0,1-5
