RID,Age,Gender,Region,BrandA_awareness,BrandA_usage,BrandA_affinity,BrandA_uniqueness,BrandA_dynamism,BrandB_awareness,BrandB_usage,BrandB_affinity,BrandB_uniqueness,BrandB_dynamism,BrandC_awareness,BrandC_usage,BrandC_affinity,BrandC_uniqueness,BrandC_dynamism
2,44,Male,East,1.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,3.0,4.0,4.0
3,46,Male,West,0.0,,,,,1.0,0.0,1.0,3.0,1.0,,,,,
4,32,Male,South,1.0,0.0,1.0,5.0,3.0,1.0,1.0,5.0,4.0,3.0,0.0,,,,
5,60,Male,North,1.0,0.0,1.0,4.0,4.0,0.0,,,,,1.0,1.0,3.0,3.0,5.0
6,25,Male,West,1.0,0.0,5.0,1.0,2.0,1.0,0.0,5.0,2.0,1.0,0.0,,,,
7,38,Male,West,1.0,1.0,3.0,5.0,2.0,0.0,,,,,1.0,1.0,4.0,1.0,2.0
8,44,Male,West,0.0,,,,,1.0,0.0,2.0,1.0,1.0,0.0,,,,
9,36,Male,West,,0.0,2.0,3.0,3.0,0.0,,,,,1.0,1.0,2.0,2.0,1.0
10,40,Female,North,1.0,1.0,2.0,4.0,2.0,0.0,,,,,1.0,0.0,5.0,4.0,1.0
11,28,Female,North,1.0,1.0,3.0,5.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0,3.0,4.0,1.0
12,28,Female,South,1.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0,5.0,2.0,1.0,0.0,3.0,5.0,1.0
13,41,Female,North,1.0,0.0,5.0,4.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0
14,53,Female,West,1.0,0.0,4.0,4.0,1.0,0.0,,,,,1.0,1.0,1.0,4.0,3.0
15,57,Male,South,0.0,,,,,1.0,1.0,5.0,3.0,3.0,0.0,,,,
16,41,Female,South,0.0,,,,,0.0,,,,,0.0,,,,
17,20,Female,South,1.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,0.0,,,,
18,39,Female,West,1.0,0.0,5.0,5.0,5.0,,1.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,2.0
19,19,Male,East,0.0,,,,,,1.0,4.0,3.0,1.0,0.0,,,,
20,41,Male,West,0.0,,,,,0.0,,,,,0.0,,,,
21,61,Male,North,0.0,,,,,1.0,0.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,5.0
22,47,Male,North,0.0,,,,,0.0,,,,,1.0,1.0,1.0,2.0,4.0
23,55,Female,West,1.0,0.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,4.0,4.0,1.0
24,19,Female,West,1.0,1.0,3.0,5.0,4.0,0.0,,,,,0.0,,,,
25,38,Male,South,1.0,0.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,,,,
26,50,Female,West,1.0,0.0,4.0,4.0,4.0,0.0,,,,,1.0,0.0,5.0,3.0,5.0
27,29,Female,South,1.0,0.0,2.0,1.0,5.0,1.0,1.0,5.0,5.0,3.0,0.0,,,,
28,39,Male,North,1.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,5.0,4.0,2.0
29,61,Male,South,1.0,0.0,5.0,4.0,2.0,1.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,5.0,2.0
30,42,Male,West,1.0,0.0,2.0,2.0,1.0,0.0,,,,,1.0,0.0,5.0,5.0,4.0
31,44,Male,North,1.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,,,,
32,44,Male,East,0.0,,,,,1.0,0.0,3.0,5.0,2.0,1.0,1.0,2.0,5.0,2.0
33,44,Male,South,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,1.0
34,45,Male,North,0.0,,,,,0.0,,,,,1.0,0.0,2.0,5.0,1.0
35,33,Male,South,1.0,0.0,1.0,5.0,2.0,1.0,1.0,5.0,3.0,1.0,0.0,,,,
