record_id,date,country,age,gender,satisfaction_score,nps_score,category,channel
2001,2024-06-01,France,Unknown,Male,30.0,10.0,Unknown,Online
2002,2024-06-10,Netherlands,35-44,Unknown,55.0,3.5,Very Unlikely,Mobile
2003,2024-06-03,Unknown,45-54,Male,46.5,2.0,Likely,Unknown
2004,2024-06-04,Uk,Unknown,Female,21.0,3.5,Neutral,Retail
2005,2024-06-05,Australia,25-34,Male,94.0,7.0,Unknown,Unknown
2006,2024-06-10,India,Unknown,Male,26.0,2.0,Neutral,Social
2007,2024-06-07,Unknown,18-24,Female,61.0,3.5,Likely,Mobile
2008,2024-06-08,Spain,25-34,Unknown,24.0,4.0,Unknown,Social
2009,2024-06-09,France,Unknown,OTHER,46.5,9.0,Neutral,Online
2010,2024-06-10,Japan,45-54,Female,23.0,3.5,Very Unlikely,Unknown
2011,2024-06-11,Usa,25-34,OTHER,80.0,0.0,Unknown,Online
2012,2024-06-12,Brazil,Unknown,Male,46.5,3.0,Very Unlikely,Mobile
2013,2024-06-10,Spain,18-24,Female,46.0,4.0,Likely,Mobile
2014,2024-06-14,Australia,Unknown,OTHER,15.0,3.5,Unknown,Online
2015,2024-06-15,Uk,35-44,Male,96.0,4.0,Unknown,Online
2016,2024-06-10,Belgium,55+,Unknown,76.0,9.0,Very Unlikely,Unknown
2017,2024-06-17,Canada,18-24,OTHER,46.5,3.0,Likely,Retail
2018,2024-06-18,Unknown,35-44,OTHER,20.0,3.0,Unlikely,Retail
2019,2024-06-19,Australia,Unknown,Male,47.0,3.5,Very Unlikely,Mobile
2020,2024-06-10,Canada,35-44,OTHER,56.0,0.0,Likely,Mobile
